Date,Open,High,Low,Close,Vol
16/08/2013 00:00,0.92541,0.92875,0.92169,0.92608,114054
18/08/2013 00:00,0.92587,0.92779,0.92544,0.92714,4373
19/08/2013 00:00,0.92714,0.92848,0.92282,0.92443,97050
20/08/2013 00:00,0.92442,0.92506,0.91469,0.917,118320
21/08/2013 00:00,0.917,0.9236,0.91621,0.92339,121353
22/08/2013 00:00,0.92339,0.92895,0.92248,0.92351,108978
23/08/2013 00:00,0.92355,0.92631,0.91896,0.92176,113967
25/08/2013 00:00,0.92105,0.92175,0.92032,0.92103,3731
26/08/2013 00:00,0.92103,0.92462,0.92081,0.92204,66327
27/08/2013 00:00,0.92204,0.92286,0.91704,0.91716,110183
28/08/2013 00:00,0.91718,0.92349,0.91706,0.9227,112904
29/08/2013 00:00,0.92269,0.9321,0.922,0.93122,117399
30/08/2013 00:00,0.93125,0.93321,0.92885,0.92989,99704
01/09/2013 00:00,0.93146,0.93289,0.93093,0.93251,5619
02/09/2013 00:00,0.93251,0.93496,0.93134,0.9347,73747
03/09/2013 00:00,0.93472,0.93825,0.93418,0.93637,100458
04/09/2013 00:00,0.93637,0.93822,0.93475,0.93582,90328
05/09/2013 00:00,0.93581,0.94546,0.9357,0.94498,112671
06/09/2013 00:00,0.94497,0.94552,0.93459,0.93731,103379
08/09/2013 00:00,0.93892,0.93917,0.93747,0.93882,4583
09/09/2013 00:00,0.93883,0.93913,0.93011,0.93264,79636
10/09/2013 00:00,0.93264,0.93664,0.93162,0.93487,84439
11/09/2013 00:00,0.93486,0.93708,0.92848,0.93009,95874
12/09/2013 00:00,0.93007,0.93345,0.92717,0.93086,97489
13/09/2013 00:00,0.93086,0.9341,0.928,0.92955,85548
15/09/2013 00:00,0.92327,0.92521,0.92284,0.92517,7769
16/09/2013 00:00,0.92518,0.92778,0.92356,0.92687,76701
17/09/2013 00:00,0.92691,0.92788,0.92527,0.926,70305
18/09/2013 00:00,0.926,0.9268,0.91087,0.91238,114707
19/09/2013 00:00,0.91241,0.91314,0.90897,0.91053,116296
20/09/2013 00:00,0.91054,0.91266,0.90889,0.91003,103147
22/09/2013 00:00,0.90821,0.91085,0.90821,0.91085,3945
23/09/2013 00:00,0.91081,0.91296,0.90842,0.91045,94059
24/09/2013 00:00,0.91045,0.91356,0.90988,0.91333,80770
25/09/2013 00:00,0.91333,0.91372,0.90784,0.90995,79294
26/09/2013 00:00,0.90995,0.91169,0.9087,0.9102,78527
27/09/2013 00:00,0.91021,0.91104,0.90209,0.90554,78088
29/09/2013 00:00,0.9061,0.90675,0.90526,0.9053,5360
30/09/2013 00:00,0.90531,0.90683,0.90248,0.90541,85784
01/10/2013 00:00,0.90541,0.9075,0.89924,0.90654,109033
02/10/2013 00:00,0.90652,0.90772,0.89942,0.90198,107073
03/10/2013 00:00,0.90198,0.90332,0.89673,0.89888,99239
04/10/2013 00:00,0.89888,0.90816,0.89781,0.90706,89164
06/10/2013 00:00,0.90634,0.90687,0.90515,0.9054,3824
07/10/2013 00:00,0.9054,0.90624,0.90158,0.90286,79141
08/10/2013 00:00,0.90286,0.90656,0.90151,0.90196,99848
09/10/2013 00:00,0.90196,0.91277,0.90187,0.91062,136434
10/10/2013 00:00,0.91065,0.91308,0.90822,0.91097,106844
11/10/2013 00:00,0.911,0.91315,0.90697,0.9113,91054
13/10/2013 00:00,0.90917,0.91051,0.90913,0.91003,4879
14/10/2013 00:00,0.91006,0.91218,0.9064,0.91126,75378
